counties,none_care,first_trimester,second_trimester,third_trimester,unknown_care,year,male,female,unknown_gender,singleton,twins,other_multiples,unknown_plural,white_non_hispanic,african_american_non_hispanic,other_non_hispanic,hispanic,gms_0_499,gms_500_1499,gms_1500_2499,gms_2500_8165,unknown_weight,pop
DUPLIN,17,424,166,39,7,2017,318,335,0,628,22,3,0,267,148,8,230,0,10,50,591,2,58943
DURHAM,60,2838,1046,219,19,2017,2170,2012,0,3991,185,6,0,1602,1369,291,920,6,66,305,3801,4,312153
EDGECOMBE,17,337,232,43,2,2017,335,296,0,601,30,0,0,186,401,2,42,3,16,66,546,0,52756
FORSYTH,35,3226,893,193,25,2017,2149,2223,0,4188,184,0,0,2000,1294,157,921,15,73,411,3873,0,375840
FRANKLIN,35,454,165,53,12,2017,393,326,0,684,35,0,0,423,189,15,92,1,11,59,648,0,66155
GASTON,67,1734,646,118,23,2017,1392,1196,0,2501,87,0,0,1691,545,64,288,8,33,206,2341,0,219656
GATES,1,71,24,1,3,2017,55,45,0,96,4,0,0,64,30,0,6,1,2,12,85,0,11514
GRAHAM,1,62,8,6,1,2017,38,40,0,74,4,0,0,70,0,7,1,0,4,4,70,0,8524
GRANVILLE,30,372,139,51,7,2017,298,301,0,591,8,0,0,313,202,8,76,1,12,44,542,0,59372
GREENE,5,143,51,6,0,2017,109,96,0,205,0,0,0,78,69,2,56,0,2,18,185,0,20963
GUILFORD,69,3811,1847,443,48,2017,3183,3035,0,5975,228,15,0,2295,2551,555,817,17,114,516,5569,2,528243
HALIFAX,13,424,112,42,2,2017,313,280,0,571,22,0,0,216,326,26,25,3,10,65,515,0,51311
HARNETT,22,1333,410,99,22,2017,987,899,0,1821,62,3,0,1155,361,53,317,4,20,130,1730,2,132395
HAYWOOD,8,493,88,26,2,2017,321,296,0,603,14,0,0,561,5,10,41,0,6,51,560,0,61005
HENDERSON,11,841,141,33,14,2017,526,514,0,1021,16,3,0,771,30,22,217,0,18,60,962,0,115216
HERTFORD,1,173,47,8,1,2017,116,114,0,224,6,0,0,62,147,2,19,0,6,14,210,0,23923
HOKE,14,638,190,32,6,2017,456,424,0,851,29,0,0,413,217,106,144,3,12,81,784,0,54138
HYDE,0,24,8,1,1,2017,19,15,0,34,0,0,0,25,6,0,3,0,0,2,32,0,5240
IREDELL,30,1264,466,92,5,2017,952,905,0,1798,59,0,0,1298,260,85,214,4,21,149,1682,1,175634
JACKSON,9,291,44,24,4,2017,194,178,0,367,5,0,0,262,7,69,34,1,7,28,336,0,43224
JOHNSTON,33,1647,533,90,15,2017,1196,1122,0,2226,89,3,0,1435,375,37,471,6,32,151,2128,1,196374
JONES,2,69,27,8,0,2017,56,50,0,106,0,0,0,75,23,3,5,0,1,6,99,0,9573
LEE,16,476,182,53,32,2017,379,380,0,733,26,0,0,355,171,25,208,1,8,67,680,3,60403
LENOIR,7,399,175,33,2,2017,311,305,0,592,24,0,0,236,299,4,77,3,7,47,559,0,56622
LINCOLN,7,594,161,40,4,2017,405,401,0,780,26,0,0,667,41,16,82,2,9,56,739,0,82557
MCDOWELL,4,368,62,17,6,2017,254,203,0,437,20,0,0,392,14,11,40,0,11,43,403,0,45083
MACON,6,267,43,18,5,2017,180,159,0,333,6,0,0,282,2,4,51,0,6,23,310,0,34581
MADISON,4,144,24,2,3,2017,84,93,0,167,10,0,0,170,1,3,3,0,3,17,157,0,21563
MARTIN,1,192,44,10,1,2017,123,125,0,238,10,0,0,123,106,2,17,0,10,30,208,0,22763
MECKLENBURG,364,9419,3737,1168,58,2017,7599,7147,0,14179,558,9,0,5641,4657,1518,2930,22,204,1200,13319,1,1078128
MITCHELL,0,109,20,3,3,2017,66,69,0,135,0,0,0,116,1,2,16,0,3,12,119,1,14992
MONTGOMERY,6,182,70,11,1,2017,136,134,0,260,10,0,0,147,51,7,65,0,3,35,232,0,27269
MOORE,24,747,266,66,6,2017,573,536,0,1060,46,3,0,773,180,43,113,3,17,83,1006,0,97368
NASH,27,758,258,61,6,2017,548,562,0,1068,42,0,0,448,483,30,149,3,22,78,1007,0,94019
